date,game_pk,batter,name,team,matchup,slot,p_hit,hit_odds,no_hit_odds,actual_hit,yes_cents
2026-06-21,823934,500743,Miguel Rojas,LAD,BAL @ LAD,5,0.7619,,,0,
2026-06-21,824177,514888,José Altuve,HOU,CLE @ HOU,5,0.7619,-152.0,114.0,0,
2026-06-21,824095,521692,Salvador Pérez,KC,STL @ KC,4,0.7619,-173.0,129.0,1,
2026-06-21,823449,543760,Marcus Semien,NYM,NYM @ PHI,6,0.7619,-181.0,136.0,0,
2026-06-21,824177,543877,Christian Vázquez,HOU,CLE @ HOU,9,0.7619,,,0,
2026-06-21,825067,545121,Ildemaro Vargas,AZ,MIN @ AZ,7,0.7619,,,0,
2026-06-21,824260,545341,Randal Grichuk,CWS,CWS @ DET,2,0.7619,,,0,
2026-06-21,823449,547180,Bryce Harper,PHI,NYM @ PHI,3,0.7619,,,1,
2026-06-21,822883,553869,Elías Díaz,TEX,SD @ TEX,8,0.7619,,,0,
2026-06-21,823531,553993,Eugenio Suárez,CIN,CIN @ NYY,6,0.7619,-154.0,115.0,0,
2026-06-21,825067,571448,Nolan Arenado,AZ,MIN @ AZ,6,0.7619,-173.0,130.0,1,
2026-06-21,824177,572233,Christian Walker,HOU,CLE @ HOU,3,0.7619,-171.0,129.0,1,
2026-06-21,823123,575929,Willson Contreras,BOS,BOS @ SEA,4,0.7619,,,0,
2026-06-21,822883,592518,Manny Machado,SD,SD @ TEX,3,0.7619,-167.0,126.0,1,
2026-06-21,822883,592626,Joc Pederson,TEX,SD @ TEX,5,0.7619,-174.0,130.0,0,
2026-06-21,823449,592663,J. T. Realmuto,PHI,NYM @ PHI,7,0.7619,,,0,
2026-06-21,824908,592885,Christian Yelich,MIL,MIL @ ATL,1,0.7619,,,0,
2026-06-21,822883,593428,Xander Bogaerts,SD,SD @ TEX,6,0.7619,-186.0,139.0,1,
2026-06-21,824177,595978,Austin Hedges,CLE,CLE @ HOU,8,0.7619,-123.0,-108.0,0,
2026-06-21,823934,605141,Mookie Betts,LAD,BAL @ LAD,4,0.7619,-243.0,180.0,1,
2026-06-21,825067,606466,Ketel Marte,AZ,MIN @ AZ,1,0.7619,-248.0,183.0,1,
2026-06-21,822883,607043,Brandon Nimmo,TEX,SD @ TEX,3,0.7619,-232.0,172.0,1,
2026-06-21,823449,607208,Trea Turner,PHI,NYM @ PHI,1,0.7619,,,1,
2026-06-21,823449,620443,Luis Torrens,NYM,NYM @ PHI,9,0.7619,-117.0,-114.0,1,
2026-06-21,825067,621439,Byron Buxton,MIN,MIN @ AZ,2,0.7619,-246.0,182.0,1,
2026-06-21,824908,641343,Jake Bauers,MIL,MIL @ ATL,5,0.7619,-223.0,165.0,1,
2026-06-21,823531,641355,Cody Bellinger,NYY,CIN @ NYY,3,0.7619,-230.0,171.0,1,
2026-06-21,823123,641487,J. P. Crawford,SEA,BOS @ SEA,1,0.7619,,,1,
2026-06-21,824987,641680,Jonah Heim,ATH,LAA @ ATH,5,0.7619,,,0,
2026-06-21,823934,642020,Chuckie Robinson,LAD,BAL @ LAD,9,0.7619,,,0,
2026-06-21,824908,642133,Rowdy Tellez,ATL,MIL @ ATL,4,0.7619,,,1,
2026-06-21,824908,642201,Eli White,ATL,MIL @ ATL,8,0.7619,112.0,-149.0,0,
2026-06-21,823123,642215,Weston Wilson,SEA,BOS @ SEA,8,0.7619,,,1,
2026-06-21,824987,642350,José Siri,LAA,LAA @ ATH,9,0.7619,-105.0,-126.0,1,
2026-06-21,823531,642708,Amed Rosario,NYY,CIN @ NYY,7,0.7619,,,1,
2026-06-21,823852,642715,Willy Adames,SF,SF @ MIA,6,0.7619,,,0,
2026-06-21,824908,643289,Mauricio Dubón,ATL,MIL @ ATL,1,0.7619,-155.0,117.0,1,
2026-06-21,824987,643446,Jeff Mcneil,ATH,LAA @ ATH,9,0.7619,,,0,
2026-06-21,824908,645277,Ozzie Albies,ATL,MIL @ ATL,3,0.7619,-167.0,125.0,1,
2026-06-21,823123,645302,Víctor Robles,SEA,BOS @ SEA,7,0.7619,,,0,
2026-06-21,823531,645305,Ali Sánchez,NYY,CIN @ NYY,8,0.7619,,,0,
2026-06-21,823123,647304,Josh Naylor,SEA,BOS @ SEA,4,0.7619,,,0,
2026-06-21,823852,650333,Luis Arráez,SF,SF @ MIA,1,0.7619,,,1,
2026-06-21,824343,650489,Willi Castro,COL,PIT @ COL,2,0.7619,,,1,
2026-06-21,822968,650490,Yandy Díaz,TB,WSH @ TB,1,0.7619,,,1,
2026-06-21,823123,655316,Andruw Monasterio,BOS,BOS @ SEA,7,0.7619,,,0,
2026-06-21,823852,656305,Matt Chapman,SF,SF @ MIA,7,0.7619,,,0,
2026-06-21,824177,656413,Stuart Fairchild,CLE,CLE @ HOU,7,0.7619,-116.0,-114.0,0,
2026-06-21,825067,656484,Tristan Gray,MIN,MIN @ AZ,6,0.7619,,,0,
2026-06-21,823449,656537,Derek Hill,PHI,NYM @ PHI,8,0.7619,,,1,
2026-06-21,825067,656577,Alex Jackson,MIN,MIN @ AZ,9,0.7619,111.0,-148.0,1,
2026-06-21,823449,656941,Kyle Schwarber,PHI,NYM @ PHI,2,0.7619,,,1,
2026-06-21,825067,656976,Pavin Smith,AZ,MIN @ AZ,5,0.7619,-122.0,-109.0,0,
2026-06-21,824095,657041,Lane Thomas,KC,STL @ KC,6,0.7619,-117.0,-114.0,1,
2026-06-21,822883,660710,Rodolfo Durán,SD,SD @ TEX,9,0.7619,-102.0,-131.0,0,
2026-06-21,824908,661388,William Contreras,MIL,MIL @ ATL,4,0.7619,,,1,
2026-06-21,824095,663457,Lars Nootbaar,STL,STL @ KC,5,0.7619,-248.0,183.0,1,
2026-06-21,824908,663586,Austin Riley,ATL,MIL @ ATL,6,0.7619,-139.0,104.0,1,
2026-06-21,825067,663616,Trevor Larnach,MIN,MIN @ AZ,1,0.7619,,,1,
2026-06-21,823934,663656,Kyle Tucker,LAD,BAL @ LAD,6,0.7619,-250.0,184.0,0,
2026-06-21,824908,663698,Joey Bart,ATL,MIL @ ATL,7,0.7619,,,0,
2026-06-21,823123,663728,Cal Raleigh,SEA,BOS @ SEA,2,0.7619,,,0,
2026-06-21,822968,663743,Nick Fortes,TB,WSH @ TB,8,0.7619,,,0,
2026-06-21,824260,663837,Matt Vierling,DET,CWS @ DET,7,0.7619,,,1,
2026-06-21,823531,663886,Tyler Stephenson,CIN,CIN @ NYY,8,0.7619,-148.0,112.0,1,
2026-06-21,824343,663968,Jake Mangum,PIT,PIT @ COL,8,0.7619,,,1,
2026-06-21,823531,663993,Nathaniel Lowe,CIN,CIN @ NYY,4,0.7619,-168.0,126.0,0,
2026-06-21,822883,664034,Ty France,SD,SD @ TEX,7,0.7619,-144.0,109.0,1,
2026-06-21,824343,664040,Brandon Lowe,PIT,PIT @ COL,2,0.7619,,,1,
2026-06-21,823449,664761,Alec Bohm,PHI,NYM @ PHI,4,0.7619,,,1,
2026-06-21,824343,664983,Jake Mccarthy,COL,PIT @ COL,1,0.7619,,,1,
2026-06-21,825067,665019,Kody Clemens,MIN,MIN @ AZ,3,0.7619,-200.0,149.0,0,
2026-06-21,823852,665052,Griffin Conine,MIA,SF @ MIA,2,0.7619,-179.0,134.0,0,
2026-06-21,824177,665161,Jeremy Peña,HOU,CLE @ HOU,1,0.7619,-182.0,136.0,1,
2026-06-21,822883,665487,Fernando Tatís,SD,SD @ TEX,5,0.7619,-225.0,167.0,1,
2026-06-21,823449,665742,Juan Soto,NYM,NYM @ PHI,3,0.7619,-237.0,175.0,1,
2026-06-21,823934,665750,Leody Taveras,BAL,BAL @ LAD,7,0.7619,-164.0,123.0,1,
2026-06-21,823531,665862,Jazz Chisholm,NYY,CIN @ NYY,5,0.7619,-155.0,116.0,1,
2026-06-21,823852,665923,Esteury Ruiz,MIA,SF @ MIA,7,0.7619,,,1,
2026-06-21,823123,665966,Carlos Narváez,BOS,BOS @ SEA,8,0.7619,-218.0,162.0,0,
2026-06-21,822968,666018,Jonathan Aranda,TB,WSH @ TB,3,0.7619,-188.0,141.0,1,
2026-06-21,824987,666126,Carlos Cortes,ATH,LAA @ ATH,6,0.7619,,,0,
2026-06-21,824908,666152,David Hamilton,MIL,MIL @ ATL,9,0.7619,-145.0,109.0,1,
2026-06-21,824987,666176,Jo Adell,LAA,LAA @ ATH,3,0.7619,-188.0,141.0,0,
2026-06-21,823449,666182,Bo Bichette,NYM,NYM @ PHI,2,0.7619,,,0,
2026-06-21,824343,666397,Edouard Julien,COL,PIT @ COL,6,0.7619,,,1,
2026-06-21,823531,668709,Jj Bleday,CIN,CIN @ NYY,2,0.7619,-184.0,138.0,0,
2026-06-21,823531,668715,Spencer Steer,CIN,CIN @ NYY,5,0.7619,-171.0,128.0,1,
2026-06-21,822968,668723,Ryan Vilade,TB,WSH @ TB,5,0.7619,,,1,
2026-06-21,824343,668804,Bryan Reynolds,PIT,PIT @ COL,3,0.7619,,,1,
2026-06-21,825067,668885,Austin Martin,MIN,MIN @ AZ,8,0.7619,-195.0,145.0,0,
2026-06-21,825067,668904,Royce Lewis,MIN,MIN @ AZ,4,0.7619,-173.0,130.0,1,
2026-06-21,824908,668930,Brice Turang,MIL,MIL @ ATL,3,0.7619,,,1,
2026-06-21,825067,668952,Ryan Kreidler,MIN,MIN @ AZ,7,0.7619,-109.0,-122.0,1,
2026-06-21,824908,669003,Garrett Mitchell,MIL,MIL @ ATL,6,0.7619,-168.0,126.0,0,
2026-06-21,823449,669004,Mj Melendez,NYM,NYM @ PHI,7,0.7619,,,0,
2026-06-21,823449,669016,Brandon Marsh,PHI,NYM @ PHI,6,0.7619,,,0,
2026-06-21,823852,669065,Kyle Stowers,MIA,SF @ MIA,4,0.7619,-207.0,154.0,1,
2026-06-21,823934,669087,Sam Huff,BAL,BAL @ LAD,3,0.7619,,,0,
2026-06-21,823934,669236,Jeremiah Jackson,BAL,BAL @ LAD,9,0.7619,-184.0,138.0,1,
2026-06-21,823934,669242,Tommy Edman,LAD,BAL @ LAD,1,0.7619,-210.0,156.0,0,
2026-06-21,823852,669364,Xavier Edwards,MIA,SF @ MIA,3,0.7619,-254.0,187.0,1,
2026-06-21,824177,669384,669384,HOU,CLE @ HOU,8,0.7619,,,1,
2026-06-21,822883,669392,Samad Taylor,SD,SD @ TEX,1,0.7619,-151.0,114.0,1,
2026-06-21,822883,669394,Jake Burger,TEX,SD @ TEX,4,0.7619,-186.0,139.0,1,
2026-06-21,823852,669477,Casey Schmitt,SF,SF @ MIA,3,0.7619,,,1,
2026-06-21,824343,669707,Jared Triolo,PIT,PIT @ COL,9,0.7619,,,1,
2026-06-21,823934,669743,Alex Call,LAD,BAL @ LAD,7,0.7619,,,0,
2026-06-21,822883,670032,Nicky Lopez,TEX,SD @ TEX,9,0.7619,-139.0,105.0,1,
2026-06-21,823123,670042,Luke Raley,SEA,BOS @ SEA,6,0.7619,,,0,
2026-06-21,824095,670224,Kameron Misner,KC,STL @ KC,7,0.7619,-103.0,-128.0,1,
2026-06-21,824095,670231,John Rave,KC,STL @ KC,8,0.7619,,,0,
2026-06-21,824177,670623,Isaac Paredes,HOU,CLE @ HOU,4,0.7619,-149.0,112.0,1,
2026-06-21,822968,670764,Taylor Walls,TB,WSH @ TB,9,0.7619,-134.0,101.0,1,
2026-06-21,824095,671056,Iván Herrera,STL,STL @ KC,2,0.7619,-232.0,172.0,1,
2026-06-21,822968,671277,Luis García,WSH,WSH @ TB,2,0.7619,,,0,
2026-06-21,824343,671289,Tyler Freeman,COL,PIT @ COL,4,0.7619,,,1,
2026-06-21,824987,671732,Lawrence Butler,ATH,LAA @ ATH,7,0.7619,,,0,
2026-06-21,824908,671739,Michael Harris,ATL,MIL @ ATL,5,0.7619,-230.0,171.0,1,
2026-06-21,824260,671976,Tristan Peters,CWS,CWS @ DET,8,0.7619,-130.0,-102.0,1,
2026-06-21,822883,672284,Jarred Kelenic,TEX,SD @ TEX,7,0.7619,,,0,
2026-06-21,824177,672356,Gabriel Arias,CLE,CLE @ HOU,4,0.7619,-161.0,121.0,0,
2026-06-21,824095,672580,Maikel García,KC,STL @ KC,2,0.7619,-238.0,176.0,0,
2026-06-21,823852,672640,Otto Lopez,MIA,SF @ MIA,5,0.7619,-251.0,185.0,1,
2026-06-21,825067,672695,Geraldo Perdomo,AZ,MIN @ AZ,2,0.7619,-213.0,158.0,1,
2026-06-21,824987,672724,Oswald Peraza,LAA,LAA @ ATH,7,0.7619,,,0,
2026-06-21,824908,673490,Ha-Seong Kim,ATL,MIL @ ATL,9,0.7619,,,0,
2026-06-21,822883,673962,Josh Jung,TEX,SD @ TEX,2,0.7619,-274.0,201.0,1,
2026-06-21,822968,676356,Jonny Deluca,TB,WSH @ TB,2,0.7619,-176.0,132.0,1,
2026-06-21,824095,676475,Alec Burleson,STL,STL @ KC,3,0.7619,,,1,
2026-06-21,823531,676609,José Caballero,NYY,CIN @ NYY,6,0.7619,-181.0,135.0,1,
2026-06-21,824177,676694,Jake Meyers,HOU,CLE @ HOU,6,0.7619,-141.0,106.0,0,
2026-06-21,823449,676724,Jared Young,NYM,NYM @ PHI,4,0.7619,,,1,
2026-06-21,824177,677587,Brayan Rocchio,CLE,CLE @ HOU,3,0.7619,-238.0,176.0,1,
2026-06-21,822968,677588,José Tena,WSH,WSH @ TB,7,0.7619,,,0,
2026-06-21,823123,677594,Julio Rodríguez,SEA,BOS @ SEA,3,0.7619,,,1,
2026-06-21,822883,677649,Ezequiel Duran,TEX,SD @ TEX,6,0.7619,-219.0,163.0,0,
2026-06-21,823934,677942,Blaze Alexander,BAL,BAL @ LAD,8,0.7619,-177.0,132.0,1,
2026-06-21,823123,678011,Anthony Seigler,BOS,BOS @ SEA,1,0.7619,-160.0,120.0,0,
2026-06-21,824260,678246,Miguel Vargas,CWS,CWS @ DET,9,0.7619,-192.0,143.0,0,
2026-06-21,822968,678554,Curtis Mead,WSH,WSH @ TB,3,0.7619,,,0,
2026-06-21,824260,678577,678577,CWS,CWS @ DET,1,0.7619,,,0,
2026-06-21,823123,678882,Ceddanne Rafaela,BOS,BOS @ SEA,2,0.7619,,,1,
2026-06-21,824260,679529,Spencer Torkelson,DET,CWS @ DET,5,0.7619,-159.0,120.0,1,
2026-06-21,823531,680474,Max Schuemann,NYY,CIN @ NYY,4,0.7619,,,0,
2026-06-21,823531,680574,Matt Mclain,CIN,CIN @ NYY,3,0.7619,-142.0,107.0,0,
2026-06-21,825067,680728,Adrian Del Castillo,AZ,MIN @ AZ,8,0.7619,,,0,
2026-06-21,823123,680776,Jarren Duran,BOS,BOS @ SEA,5,0.7619,,,0,
2026-06-21,824987,680869,Zack Gelof,ATH,LAA @ ATH,1,0.7619,,,1,
2026-06-21,823449,681082,Bryson Stott,PHI,NYM @ PHI,9,0.7619,,,1,
2026-06-21,824343,681198,Tj Rumfield,COL,PIT @ COL,3,0.7619,,,1,
2026-06-21,823934,681297,Colton Cowser,BAL,BAL @ LAD,6,0.7619,,,1,
2026-06-21,824987,681351,Logan O'Hoppe,LAA,LAA @ ATH,8,0.7619,-146.0,110.0,1,
2026-06-21,824260,681481,Kerry Carpenter,DET,CWS @ DET,3,0.7619,-153.0,115.0,0,
2026-06-21,823123,681508,Mickey Gasper,BOS,BOS @ SEA,3,0.7619,,,1,
2026-06-21,823934,681624,Andy Pages,LAD,BAL @ LAD,2,0.7619,,,1,
2026-06-21,824177,681807,David Fry,CLE,CLE @ HOU,6,0.7619,-149.0,112.0,0,
2026-06-21,823123,681987,Nate Eaton,BOS,BOS @ SEA,9,0.7619,,,1,
2026-06-21,824177,682177,Daniel Schneemann,CLE,CLE @ HOU,5,0.7619,,,0,
2026-06-21,823531,682622,Noelvi Marte,CIN,CIN @ NYY,7,0.7619,,,1,
2026-06-21,823449,682626,Francisco Álvarez,NYM,NYM @ PHI,8,0.7619,-183.0,137.0,0,
2026-06-21,824343,682848,Endy Rodríguez,PIT,PIT @ COL,6,0.7619,,,1,
2026-06-21,822968,682928,Cj Abrams,WSH,WSH @ TB,4,0.7619,,,1,
2026-06-21,824260,682985,Riley Greene,DET,CWS @ DET,4,0.7619,-188.0,141.0,1,
2026-06-21,824343,682997,Tyler Callihan,PIT,PIT @ COL,7,0.7619,,,1,
2026-06-21,825067,682998,Corbin Carroll,AZ,MIN @ AZ,3,0.7619,-240.0,178.0,1,
2026-06-21,823934,683002,Gunnar Henderson,BAL,BAL @ LAD,2,0.7619,,,1,
2026-06-21,823531,683011,Anthony Volpe,NYY,CIN @ NYY,9,0.7619,-167.0,125.0,0,
2026-06-21,822968,683083,Nasim Nuñez,WSH,WSH @ TB,9,0.7619,,,1,
2026-06-21,823852,683357,Owen Caissie,MIA,SF @ MIA,6,0.7619,-125.0,-106.0,0,
2026-06-21,824177,683953,Travis Bazzana,CLE,CLE @ HOU,1,0.7619,-160.0,120.0,1,
2026-06-21,824908,686217,Sal Frelick,MIL,MIL @ ATL,7,0.7619,-213.0,158.0,1,
2026-06-21,822968,686452,Drew Millas,WSH,WSH @ TB,8,0.7619,,,0,
2026-06-21,824095,686555,Isaac Collins,KC,STL @ KC,9,0.7619,-124.0,-107.0,1,
2026-06-21,822968,686611,Dylan Crews,WSH,WSH @ TB,6,0.7619,,,1,
2026-06-21,824095,686681,Michael Massey,KC,STL @ KC,5,0.7619,-140.0,105.0,1,
2026-06-21,825067,686797,Brooks Lee,MIN,MIN @ AZ,5,0.7619,-182.0,136.0,0,
2026-06-21,824908,686948,Drake Baldwin,ATL,MIL @ ATL,2,0.7619,-209.0,155.0,0,
2026-06-21,824987,687093,Vaughn Grissom,LAA,LAA @ ATH,2,0.7619,-195.0,146.0,0,
2026-06-21,823934,687221,Dalton Rushing,LAD,BAL @ LAD,3,0.7619,-134.0,101.0,0,
2026-06-21,824987,687263,Zach Neto,LAA,LAA @ ATH,1,0.7619,-182.0,136.0,1,
2026-06-21,824343,687462,Spencer Horwitz,PIT,PIT @ COL,1,0.7619,,,1,
2026-06-21,823852,687551,Drew Gilbert,SF,SF @ MIA,8,0.7619,,,1,
2026-06-21,822883,687749,687749,SD,SD @ TEX,4,0.7619,,,0,
2026-06-21,824343,690924,Braxton Fulford,COL,PIT @ COL,7,0.7619,-152.0,115.0,0,
2026-06-21,823934,690976,Alex Freeland,LAD,BAL @ LAD,8,0.7619,,,0,
2026-06-21,824177,690984,Petey Halpin,CLE,CLE @ HOU,9,0.7619,,,1,
2026-06-21,824260,690993,Colt Keith,DET,CWS @ DET,6,0.7619,-137.0,103.0,1,
2026-06-21,824987,691016,Tyler Soderstrom,ATH,LAA @ ATH,4,0.7619,,,1,
2026-06-21,824095,691023,Jordan Walker,STL,STL @ KC,4,0.7619,-199.0,149.0,0,
2026-06-21,824095,691026,Masyn Winn,STL,STL @ KC,6,0.7619,-196.0,146.0,1,
2026-06-21,823531,691176,Jasson Domínguez,NYY,CIN @ NYY,2,0.7619,-217.0,162.0,1,
2026-06-21,822968,691406,Junior Caminero,TB,WSH @ TB,4,0.7619,-270.0,199.0,0,
2026-06-21,824095,691458,691458,STL,STL @ KC,8,0.7619,,,1,
2026-06-21,823852,691594,Javier Sanoja,MIA,SF @ MIA,9,0.7619,-176.0,132.0,0,
2026-06-21,824343,691720,Kyle Karros,COL,PIT @ COL,8,0.7619,-202.0,150.0,1,
2026-06-21,823934,691723,Coby Mayo,BAL,BAL @ LAD,5,0.7619,-201.0,150.0,0,
2026-06-21,823852,691740,Daniel Susac,SF,SF @ MIA,9,0.7619,,,0,
2026-06-21,823852,691788,Joe Mack,MIA,SF @ MIA,8,0.7619,-145.0,109.0,0,
2026-06-21,824343,693304,Nick Gonzales,PIT,PIT @ COL,5,0.7619,,,1,
2026-06-21,824260,693307,Dillon Dingler,DET,CWS @ DET,2,0.7619,-222.0,164.0,1,
2026-06-21,824908,694192,Jackson Chourio,MIL,MIL @ ATL,2,0.7619,,,1,
2026-06-21,824987,694203,Denzer Guzman,LAA,LAA @ ATH,5,0.7619,-146.0,110.0,1,
2026-06-21,823934,694212,Samuel Basallo,BAL,BAL @ LAD,4,0.7619,-234.0,173.0,1,
2026-06-21,824343,694249,694249,COL,PIT @ COL,5,0.7619,,,1,
2026-06-21,823531,694362,Blake Dunn,CIN,CIN @ NYY,1,0.7619,-216.0,161.0,1,
2026-06-21,825067,694371,Tommy Troy,AZ,MIN @ AZ,9,0.7619,-125.0,-106.0,0,
2026-06-21,825067,694374,Tim Tawa,AZ,MIN @ AZ,4,0.7619,,,0,
2026-06-21,824260,694378,Jacob Gonzalez,CWS,CWS @ DET,6,0.7619,-120.0,-110.0,0,
2026-06-21,824987,694384,Nolan Schanuel,LAA,LAA @ ATH,4,0.7619,-202.0,150.0,1,
2026-06-21,822883,694671,Wyatt Langford,TEX,SD @ TEX,1,0.7619,-199.0,148.0,1,
2026-06-21,824177,694728,Brice Matthews,HOU,CLE @ HOU,2,0.7619,,,0,
2026-06-21,824343,695257,Billy Cook,PIT,PIT @ COL,4,0.7619,,,0,
2026-06-21,823531,695490,695490,CIN,CIN @ NYY,9,0.7619,,,0,
2026-06-21,824095,695506,Jac Caglianone,KC,STL @ KC,3,0.7619,-157.0,118.0,1,
2026-06-21,822968,695578,James Wood,WSH,WSH @ TB,1,0.7619,,,0,
2026-06-21,824095,695600,Carter Jensen,KC,STL @ KC,1,0.7619,-161.0,121.0,1,
2026-06-21,824260,695657,Colson Montgomery,CWS,CWS @ DET,3,0.7619,-148.0,111.0,0,
2026-06-21,824987,695681,Christian Moore,LAA,LAA @ ATH,6,0.7619,,,1,
2026-06-21,824260,695731,695731,CWS,CWS @ DET,5,0.7619,,,1,
2026-06-21,822968,695734,Daylen Lile,WSH,WSH @ TB,5,0.7619,,,1,
2026-06-21,824343,696100,Hunter Goodman,COL,PIT @ COL,9,0.7619,,,0,
2026-06-21,824095,699625,Jimmy Crooks,STL,STL @ KC,7,0.7619,-164.0,123.0,1,
2026-06-21,823531,700250,Ben Rice,NYY,CIN @ NYY,1,0.7619,-237.0,175.0,1,
2026-06-21,824260,700337,Edgar Quero,CWS,CWS @ DET,7,0.7619,,,1,
2026-06-21,824177,700932,Kyle Manzardo,CLE,CLE @ HOU,2,0.7619,-134.0,101.0,1,
2026-06-21,824177,701358,Cam Smith,HOU,CLE @ HOU,7,0.7619,-107.0,-124.0,0,
2026-06-21,822883,701538,Jackson Merrill,SD,SD @ TEX,2,0.7619,-190.0,142.0,1,
2026-06-21,824095,701675,Nathan Church,STL,STL @ KC,9,0.7619,-134.0,101.0,1,
2026-06-21,824260,701678,Hao-Yu Lee,DET,CWS @ DET,8,0.7619,,,1,
2026-06-21,824987,701762,Nick Kurtz,ATH,LAA @ ATH,2,0.7619,,,1,
2026-06-21,823449,701807,Carson Benge,NYM,NYM @ PHI,1,0.7619,-183.0,137.0,1,
2026-06-21,823449,702222,Justin Crawford,PHI,NYM @ PHI,5,0.7619,,,0,
2026-06-21,823123,702284,Cole Young,SEA,BOS @ SEA,9,0.7619,,,1,
2026-06-21,823123,702332,Caleb Durbin,BOS,BOS @ SEA,6,0.7619,,,1,
2026-06-21,824987,703607,Henry Bolte,ATH,LAA @ ATH,8,0.7619,,,1,
2026-06-21,824095,802139,Jj Wetherholt,STL,STL @ KC,1,0.7619,,,1,
2026-06-21,822968,802415,Chandler Simpson,TB,WSH @ TB,7,0.7619,-246.0,182.0,1,
2026-06-21,823852,805300,Jakob Marsee,MIA,SF @ MIA,1,0.7619,-187.0,140.0,0,
2026-06-21,824260,805367,Chase Meidroth,CWS,CWS @ DET,4,0.7619,-179.0,134.0,0,
2026-06-21,824987,805779,Jacob Wilson,ATH,LAA @ ATH,3,0.7619,,,0,
2026-06-21,824260,805808,Kevin Mcgonigle,DET,CWS @ DET,1,0.7619,-218.0,162.0,1,
2026-06-21,823852,805811,Bryce Eldridge,SF,SF @ MIA,2,0.7619,,,0,
2026-06-21,823449,805999,A. J. Ewing,NYM,NYM @ PHI,5,0.7619,-143.0,108.0,1,
2026-06-21,823123,806068,Colt Emerson,SEA,BOS @ SEA,5,0.7619,,,0,
2026-06-21,824908,806198,806198,MIL,MIL @ ATL,8,0.7619,,,1,
2026-06-21,823852,808982,Jung Hoo Lee,SF,SF @ MIA,5,0.7619,,,0,
2026-06-21,822968,810938,Ben Williamson,TB,WSH @ TB,6,0.7619,,,1,
2026-06-21,823852,813841,Jonah Cox,SF,SF @ MIA,4,0.7619,,,0,
2026-06-21,822883,823550,Sung Mun Song,SD,SD @ TEX,8,0.7619,,,1,
2026-06-22,824261,502671,Paul Goldschmidt,NYY,NYY @ DET,3,0.6296,,,1,
2026-06-22,822800,514888,José Altuve,HOU,HOU @ TOR,5,0.626,,,1,
2026-06-22,823692,518692,Freddie Freeman,LAD,LAD @ MIN,3,0.6507,,,1,
2026-06-22,822964,521692,Salvador Pérez,KC,KC @ TB,4,0.6297,,,0,
2026-06-22,823613,543760,Marcus Semien,NYM,CHC @ NYM,6,0.626,,,0,
2026-06-22,822800,543807,George Springer,TOR,HOU @ TOR,1,0.6297,,,1,
2026-06-22,823040,545121,Ildemaro Vargas,AZ,AZ @ STL,4,0.6582,,,0,
2026-06-22,824585,545341,Randal Grichuk,CWS,CLE @ CWS,3,0.6261,,,1,
2026-06-22,822720,547180,Bryce Harper,PHI,PHI @ WSH,3,0.663,,,1,
2026-06-22,823851,553869,Elías Díaz,TEX,TEX @ MIA,8,0.5565,,,1,
2026-06-22,824502,553993,Eugenio Suárez,CIN,MIL @ CIN,6,0.626,,,0,
2026-06-22,823040,571448,Nolan Arenado,AZ,AZ @ STL,5,0.6543,,,1,
2026-06-22,823692,571970,Max Muncy,LAD,LAD @ MIN,5,0.6297,,,1,
2026-06-22,822800,572233,Christian Walker,HOU,HOU @ TOR,3,0.6261,,,0,
2026-06-22,823288,573262,Mike Yastrzemski,ATL,ATL @ SD,8,0.5837,,,1,
2026-06-22,824344,575929,Willson Contreras,BOS,BOS @ COL,4,0.6785,,,1,
2026-06-22,823288,592518,Manny Machado,SD,ATL @ SD,3,0.6297,,,1,
2026-06-22,824502,592885,Christian Yelich,MIL,MIL @ CIN,1,0.633,,,0,
2026-06-22,823288,593428,Xander Bogaerts,SD,ATL @ SD,6,0.6296,,,0,
2026-06-22,823692,605137,Josh Bell,MIN,LAD @ MIN,4,0.6331,,,0,
2026-06-22,823692,605141,Mookie Betts,LAD,LAD @ MIN,4,0.6297,,,0,
2026-06-22,823692,605170,Víctor Caratini,MIN,LAD @ MIN,6,0.6088,,,0,
2026-06-22,823040,606466,Ketel Marte,AZ,AZ @ STL,1,0.6652,,,1,
2026-06-22,823851,607043,Brandon Nimmo,TEX,TEX @ MIA,4,0.6507,,,1,
2026-06-22,822720,607208,Trea Turner,PHI,PHI @ WSH,1,0.6543,,,0,
2026-06-22,823613,608324,Alex Bregman,CHC,CHC @ NYM,2,0.626,,,0,
2026-06-22,823613,608348,Carson Kelly,CHC,CHC @ NYM,8,0.5612,,,1,
2026-06-22,823288,609280,Miguel Andújar,SD,ATL @ SD,4,0.633,,,0,
2026-06-22,823613,621020,Dansby Swanson,CHC,CHC @ NYM,9,0.5641,,,1,
2026-06-22,823692,621439,Byron Buxton,MIN,LAD @ MIN,2,0.6331,,,1,
2026-06-22,824016,621493,Taylor Ward,BAL,BAL @ LAA,1,0.6541,,,1,
2026-06-22,823288,621566,Matt Olson,ATL,ATL @ SD,3,0.6297,,,1,
2026-06-22,824016,622268,Donovan Walton,LAA,BAL @ LAA,7,0.5988,,,1,
2026-06-22,823288,622761,Jorge Mateo,ATL,ATL @ SD,9,0.5737,,,0,
2026-06-22,824016,624413,Pete Alonso,BAL,BAL @ LAA,3,0.6331,,,1,
2026-06-22,824016,624585,Jorge Soler,LAA,BAL @ LAA,4,0.626,,,1,
